api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
AWS,art_001,2026-05-23T00:16:08.466402,success,77,177,False,4501,4501,
Google,art_001,2026-05-23T00:16:10.039341,success,166,15,False,4501,4501,
Azure,art_001,2026-05-23T00:16:14.026662,success,135,127,False,4501,4501,1.0
AWS,art_002,2026-05-23T00:16:17.780850,success,78,183,False,4480,4480,
Google,art_002,2026-05-23T00:16:26.399352,success,164,15,False,4480,4480,
Azure,art_002,2026-05-23T00:16:29.934587,success,119,122,False,4480,4480,2.0
AWS,art_003,2026-05-23T00:16:33.357558,success,104,208,True,5827,4702,
Google,art_003,2026-05-23T00:16:35.914818,success,170,15,True,5827,4702,
Azure,art_003,2026-05-23T00:16:40.868761,success,156,120,True,5827,4702,3.0
AWS,art_004,2026-05-23T00:16:44.322273,success,66,185,True,11589,4717,
Google,art_004,2026-05-23T00:16:46.900186,success,178,15,True,11589,4717,
Azure,art_004,2026-05-23T00:16:49.968594,success,130,115,True,11589,4717,1.0
AWS,art_005,2026-05-23T00:16:53.335114,success,98,216,True,5063,4760,
Google,art_005,2026-05-23T00:16:56.017480,success,177,15,True,5063,4760,
Azure,art_005,2026-05-23T00:17:00.555226,success,163,132,True,5063,4760,0.0
AWS,art_006,2026-05-23T00:17:03.747680,success,77,160,False,4407,4407,
Google,art_006,2026-05-23T00:17:06.328272,success,143,15,False,4407,4407,
Azure,art_006,2026-05-23T00:17:09.822650,success,114,130,False,4407,4407,7.0
AWS,art_007,2026-05-23T00:17:13.129044,success,49,93,False,2181,2181,
Google,art_007,2026-05-23T00:17:15.478536,success,84,15,False,2181,2181,
Azure,art_007,2026-05-23T00:17:19.722317,success,74,78,False,2181,2181,1.0
AWS,art_008,2026-05-23T00:17:22.320561,success,115,206,False,4732,4732,
Google,art_008,2026-05-23T00:17:24.942705,success,170,15,False,4732,4732,
Azure,art_008,2026-05-23T00:17:28.104065,success,171,138,False,4732,4732,1.0
AWS,art_009,2026-05-23T00:17:31.392966,success,93,176,True,6551,4701,
Google,art_009,2026-05-23T00:17:34.022459,success,164,15,True,6551,4701,
Azure,art_009,2026-05-23T00:17:38.418796,success,134,137,True,6551,4701,2.0
AWS,art_010,2026-05-23T00:17:41.972767,success,76,139,False,3507,3507,
Google,art_010,2026-05-23T00:17:44.348694,success,119,15,False,3507,3507,
Azure,art_010,2026-05-23T00:17:47.313075,success,110,99,False,3507,3507,0.0
AWS,art_011,2026-05-23T00:17:50.064282,success,52,92,False,2165,2165,
Google,art_011,2026-05-23T00:17:51.622829,success,93,15,False,2165,2165,
Azure,art_011,2026-05-23T00:17:55.344647,success,64,80,False,2165,2165,1.0
AWS,art_012,2026-05-23T00:17:58.006090,success,119,189,True,6585,4594,
Google,art_012,2026-05-23T00:18:00.635409,success,161,15,True,6585,4594,
Azure,art_012,2026-05-23T00:18:04.942278,success,152,120,True,6585,4594,2.0
AWS,art_013,2026-05-23T00:18:08.167329,success,82,193,True,10262,4646,
