article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_001,Homeland Security Investigations,ORGANIZATION,-0.01216020729043521,-0.1434,0.1312397927095648,2
art_001,HSI,ORGANIZATION,-0.08101492522837361,-0.1434,0.062385074771626386,4
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,HSI,ORGANIZATION,-0.08101492522837361,-0.1434,0.062385074771626386,4
art_001,Special,PERSON,0.1068515057413606,-0.1434,0.25025150574136057,2
art_001,Steven Schrank,PERSON,-0.010943322820821777,-0.1434,0.13245667717917822,1
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,Schrank,PERSON,-0.2807929596892791,-0.1434,0.1373929596892791,2
art_001,ICE,ORGANIZATION,0.10473790863761678,-0.1434,0.24813790863761678,4
art_001,Hyundai–LG Energy Solution,ORGANIZATION,-0.0017931546899490058,-0.1434,0.141606845310051,1
art_001,HYUNDAI,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,HSI,ORGANIZATION,-0.08101492522837361,-0.1434,0.062385074771626386,4
art_001,Trump,PERSON,-0.04701495106564835,-0.1434,0.09638504893435165,1
art_001,Hyundai–LGES,ORGANIZATION,0.02488186642585788,-0.1434,0.16828186642585788,1
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,South Korean foreign ministry,ORGANIZATION,-0.10439428058452904,-0.1434,0.03900571941547096,1
art_001,Lee Jae-woong,PERSON,-0.033196828328073025,-0.1434,0.11020317167192697,1
art_001,South Korea,ORGANIZATION,-0.04585532758695384,-0.1434,0.09754467241304615,3
art_001,foreign ministry,ORGANIZATION,-0.06879555445630103,-0.1434,0.07460444554369897,2
art_001,Financial Times,ORGANIZATION,-0.019458291528280824,-0.1434,0.12394170847171918,2
art_001,Georgia State Patrol,ORGANIZATION,0.09192056010942906,-0.1434,0.23532056010942906,2
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,Georgia Department of Public Safety,ORGANIZATION,0.032544776098802686,-0.1434,0.17594477609880269,1
art_001,Associated Press,ORGANIZATION,0.032544776098802686,-0.1434,0.17594477609880269,1
art_001,South Korea,ORGANIZATION,-0.04585532758695384,-0.1434,0.09754467241304615,3
art_001,LGES,ORGANIZATION,0.006686674028363389,-0.1434,0.1500866740283634,3
art_001,Financial Times,ORGANIZATION,-0.019458291528280824,-0.1434,0.12394170847171918,2
art_001,LGES,ORGANIZATION,0.006686674028363389,-0.1434,0.1500866740283634,3
art_001,Fox News Digital,ORGANIZATION,0.07763983495533466,-0.1434,0.22103983495533466,3
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,Hyundai Motor Company,ORGANIZATION,-0.004882074543274939,-0.1434,0.13851792545672506,1
art_001,Hyundai,ORGANIZATION,-0.034186594408311066,-0.1434,0.10921340559168893,8
art_001,Fox News Digital,ORGANIZATION,0.07763983495533466,-0.1434,0.22103983495533466,3
art_001,Department of Homeland Security,ORGANIZATION,0.23690366902155802,-0.1434,0.380303669021558,1
art_001,ICE Homeland Security,ORGANIZATION,0.23690366902155802,-0.1434,0.380303669021558,1
art_001,Georgians,PERSON,0.23690366902155802,-0.1434,0.380303669021558,1
art_001,DHS,ORGANIZATION,0.23690366902155802,-0.1434,0.380303669021558,1
art_001,Fox News Digital,ORGANIZATION,0.07763983495533466,-0.1434,0.22103983495533466,3
art_001,FBI,ORGANIZATION,0.22464633430354297,-0.1434,0.36804633430354294,1
art_001,DEA,ORGANIZATION,0.12350561388302594,-0.1434,0.2669056138830259,2
art_001,Customs and Border Protection,ORGANIZATION,0.22464633430354297,-0.1434,0.36804633430354294,1
art_001,ATF,ORGANIZATION,0.22464633430354297,-0.1434,0.36804633430354294,1
art_001,IRS,ORGANIZATION,0.22464633430354297,-0.1434,0.36804633430354294,1
art_001,Georgia State Patrol,ORGANIZATION,0.09192056010942906,-0.1434,0.23532056010942906,2
art_001,FOX NEWS,ORGANIZATION,0.057010540360352024,-0.1434,0.20041054036035202,4
art_001,HSI,ORGANIZATION,-0.08101492522837361,-0.1434,0.062385074771626386,4
art_001,Homeland Security,ORGANIZATION,-0.009732586001822105,-0.1434,0.1336674139981779,3
art_002,Koreans,PERSON,-0.2946384004317224,-0.0899,0.20473840043172242,1
art_002,ICE,ORGANIZATION,-0.08765241779619828,-0.0899,0.0022475822038017096,5
art_002,Hyundai,ORGANIZATION,-0.0560528552508913,-0.0899,0.033847144749108694,5
art_002,Hyundai,ORGANIZATION,-0.0560528552508913,-0.0899,0.033847144749108694,5
art_002,President Donald Trump,PERSON,-0.18611182481981814,-0.0899,0.09621182481981815,2
art_002,South Korea,ORGANIZATION,-0.06722758980079864,-0.0899,0.022672410199201354,6
art_002,US government,ORGANIZATION,-0.17449456732720137,-0.0899,0.08459456732720137,1
art_002,Department of Homeland Security,ORGANIZATION,-0.10495552507927641,-0.0899,0.015055525079276419,1
art_002,BBC,ORGANIZATION,-0.10495552507927641,-0.0899,0.015055525079276419,1
art_002,Steve Schrank,PERSON,-0.023250132042448968,-0.0899,0.06664986795755103,1
